FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW36Forecast,GW37Forecast,GW38Forecast
N'Golo,Kante,MID,CHE,4700000,3,79,2.4,5.1063829787234e-07,1.68085106382979e-05,0,786526,9,29,0,0,0,1,0,16.8,2671,-3,0,79,3,0.5,0,2.2,1,0,13,0,1,12.0,302737,0,501,0,0,2958,3190,0,0,523,Middlesbrough,West Brom,Watford,Sunderland,,2.3,4.2,2.7
Bartosz,Kapustka,MID,LEI,5000000,0,0,0.0,0.0,0.0,0,5843,0,0,0,0,0,0,0,0.0,6,-5,0,0,5,0.0,0,0.0,0,0,0,0,0,0.1,581,0,0,0,0,0,6,0,0,0,Watford,Man City,Tottenham,Bournemouth,,0.0,0.0,0.0
Loris,Karius,GLK,LIV,4300000,0,32,0.304761904761905,7.087486157253599e-08,7.44186046511628e-06,0,80489,0,12,0,20,0,0,0,7.4,136,-7,0,32,7,0.0,0,0.0,0,0,3,0,0,0.7,79125,0,0,0,0,900,18,0,0,153,Southampton,West Ham,Middlesbrough,,,0.2,0.2,0.2
Michael,Keane,DEF,BUR,5100000,8,113,3.2,6.274509803921571e-07,2.2156862745098e-05,0,120729,4,49,0,0,0,2,0,22.2,1695,1,0,113,-1,0.9,0,4.8,10,0,10,0,1,4.3,241766,0,0,0,3,3150,7465,0,0,619,West Brom,Bournemouth,West Ham,,,0.0,2.9,4.6
Will,Keane,FWD,HUL,4400000,0,8,1.6,3.63636363636364e-07,1.81818181818182e-06,0,39764,0,10,0,0,0,0,0,1.8,62,-1,0,8,1,0.0,0,0.0,0,0,1,0,0,0.2,41331,0,0,0,0,280,28,0,0,9,Sunderland,Crystal Palace,Tottenham,,,0.0,0.0,0.0
Martin,Kelly,DEF,CRY,4200000,1,39,1.5,3.5714285714285705e-07,9.28571428571429e-06,0,48858,3,39,0,0,0,0,0,9.3,1045,-3,0,39,3,0.5,0,2.2,0,0,1,0,2,0.7,58201,0,96,0,0,1869,377,0,0,284,Man City,Hull City,Man Utd,,,0.9,1.3,0.8
,Kenedy,MID,CHE,5100000,0,1,0.00952380952380952,1.8674136321195102e-09,1.9607843137254898e-07,0,2243,0,0,0,0,0,0,0,0.2,2,-4,0,1,4,0.0,0,0.0,0,0,0,0,0,0.0,1265,0,86,0,0,16,2,0,0,2,Middlesbrough,West Brom,Watford,Sunderland,,0.0,0.0,0.0
Jonjoe,Kenny,DEF,EVE,4000000,0,0,0.0,0.0,0.0,0,972,0,0,0,0,0,0,0,0.0,26,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,1667,0,0,0,0,0,24,0,0,0,Swansea,Watford,Arsenal,,,0.0,0.0,0.0
Wahbi,Khazri,MID,SUN,6000000,1,31,0.29523809523809497,4.92063492063492e-08,5.16666666666667e-06,0,11833,5,20,0,0,0,1,0,5.2,37,-5,0,31,5,0.5,0,2.8,3,0,1,0,0,0.1,1261,0,172,0,0,795,25,0,0,99,Hull City,Swansea,Arsenal,Chelsea,,0.1,0.2,0.1
,Ki Sung-yueng,MID,SWA,5000000,2,31,0.29523809523809497,5.904761904761901e-08,6.2e-06,0,4885,3,28,0,0,0,0,0,6.2,11,-5,0,31,5,0.3,0,1.6,0,0,2,0,0,0.0,1504,0,241,0,0,1141,21,0,0,181,Everton,Sunderland,West Brom,,,0.1,0.1,0.1
Michael,Kightly,MID,BUR,4200000,0,6,1.2,2.85714285714286e-07,1.4285714285714301e-06,0,33800,0,1,0,0,0,0,0,1.4,167,-3,0,6,3,0.0,0,0.0,0,0,0,0,0,0.6,29229,0,0,0,0,104,4,0,0,20,West Brom,Bournemouth,West Ham,,,0.0,0.0,0.0
Andy,King,MID,LEI,4700000,1,36,0.34285714285714297,7.29483282674772e-08,7.65957446808511e-06,0,18227,4,23,0,0,0,1,0,7.7,78,-3,0,36,3,0.2,0,0.8,1,0,1,0,0,0.2,10002,0,174,0,0,1265,49,0,0,184,Watford,Man City,Tottenham,Bournemouth,,0.2,0.4,0.2
Joshua,King,MID,BOU,6200000,11,164,4.8,7.741935483870971e-07,2.64516129032258e-05,0,208819,1,51,0,0,0,15,0,26.5,8018,7,-1,164,-7,1.2,1,7.4,15,0,9,0,2,19.2,1017063,0,321,0,3,2534,55628,1,0,518,Stoke,Burnley,Leicester,,,6.2,6.8,4.7
Stephen,Kingsley,DEF,SWA,3900000,2,28,0.266666666666667,6.83760683760684e-08,7.179487179487179e-06,0,512397,0,20,0,0,0,0,0,7.2,3195,-1,0,28,1,0.4,0,1.6,2,0,3,0,0,8.9,648960,0,75,0,1,1035,5023,0,0,189,Everton,Sunderland,West Brom,,,0.1,0.1,0.1
Jan,Kirchhoff,MID,SUN,4200000,0,12,1.7,4.0476190476190503e-07,2.8571428571428602e-06,0,3764,1,11,0,0,0,0,0,2.9,11,-3,0,12,3,0.0,0,0.0,0,0,0,0,1,0.0,1790,0,118,0,0,433,6,0,0,61,Hull City,Swansea,Arsenal,Chelsea,,0.0,0.0,0.0
Ragnar,Klavan,DEF,LIV,4400000,1,43,2.1,4.772727272727271e-07,9.772727272727271e-06,0,90038,3,19,0,0,0,0,0,9.8,520,-6,0,43,6,0.1,0,0.6,4,0,3,0,0,0.6,67550,0,0,0,0,1410,36,0,0,292,Southampton,West Ham,Middlesbrough,,,2.3,2.0,2.0
